cell_type,count,percentage,proportional_sample,sqrt_sample,stratified_sample
plasmacytoid dendritic cell,2296,0.25074015304322755,250,577,320
"CD4-positive, alpha-beta thymocyte",2275,0.24844679798490538,248,575,318
late promyelocyte,2077,0.22682373600643888,226,549,299
B cell,2020,0.22059891513385002,220,541,294
class switched memory B cell,1818,0.19853902362046502,198,514,274
small pre-B-II cell,1791,0.19559042425976503,195,510,272
hematopoietic precursor cell,1720,0.18783670001496142,187,500,265
early lymphoid progenitor,1671,0.1824855382122096,182,492,260
mucosal invariant T cell,1498,0.16359266082698384,163,466,244
common dendritic progenitor,1483,0.1619545500710394,161,464,242
T cell,1344,0.14677472373262102,146,442,229
osteoclast,1336,0.14590106466278396,145,440,228
plasmablast,1274,0.139130206871547,139,430,222
neutrophil progenitor cell,1172,0.12799105373112488,127,412,212
mast cell,1057,0.11543220460221756,115,392,201
professional antigen presenting cell,821,0.08965926204202518,89,345,178
"CD8-positive, alpha-beta thymocyte",806,0.08802115128608075,88,342,177
granulocyte,740,0.08081346395992525,80,328,171
preosteoblast,736,0.08037663442500674,80,327,170
myeloid lineage restricted progenitor cell,681,0.07437022831987716,74,314,165
"CD4-positive, alpha-beta cytotoxic T cell",598,0.06530601547031797,65,294,157
endothelial cell of sinusoid,592,0.06465077116794021,64,293,156
regulatory T cell,519,0.05667863215567731,56,274,149
eosinophil,406,0.04433819779422926,44,242,139
epithelial cell,377,0.04117118366607003,41,234,136
osteoblast,374,0.040843561514881145,40,233,135
endothelial tip cell,373,0.040734354131151514,40,232,135
adipocyte,353,0.03855020645655894,38,226,133
stromal cell,335,0.03658447354942562,36,220,132
alpha-beta T cell,301,0.03287142250261824,32,209,128
T follicular helper cell,267,0.02915837145581087,29,197,125
muscle precursor cell,254,0.027738675467325696,27,192,124
intermediate monocyte,224,0.024462453955436836,24,180,121
stromal cell of bone marrow,213,0.02326117273441092,23,175,120
precursor cell,191,0.020858610292359088,20,166,118
mesodermal cell,189,0.02064019552489983,20,165,118
basophil,177,0.019329706920144286,19,160,117
