cell_type,count,percentage,k562_relevance,weighted_count,k562_weighted,k562_weighted_sqrt,k562_hybrid,proportional_sample,sqrt_sample
naive T cell,0,0.0,1.5,0.0,0,0,0,0,0
myometrial cell,0,0.0,0.5,0.0,0,0,0,0,0
myoblast,0,0.0,0.5,0.0,0,0,0,0,0
large intestine goblet cell,0,0.0,1.5,0.0,0,0,0,0,0
lateral mesodermal cell,0,0.0,0.5,0.0,0,0,0,0,0
lens epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
lens fiber cell,0,0.0,0.5,0.0,0,0,0,0,0
kidney loop of Henle thin ascending limb epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
leptomeningeal cell,0,0.0,0.5,0.0,0,0,0,0,0
luminal endometrial multiciliated epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
myoepithelial cell of bronchus submucosal gland,0,0.0,0.5,0.0,0,0,0,0,0
luminal cell of prostate epithelium,0,0.0,0.5,0.0,0,0,0,0,0
leukocyte,0,0.0,0.5,0.0,0,0,0,0,0
liver dendritic cell,0,0.0,3.0,0.0,0,0,0,0,0
myoepithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
myo-medullary thymic epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
medullary thymic epithelial cell type 3,0,0.0,0.5,0.0,0,0,0,0,0
near-projecting glutamatergic cortical neuron,0,0.0,0.5,0.0,0,0,0,0,0
myeloid leukocyte,0,0.0,3.0,0.0,0,0,0,0,0
neuronal-restricted precursor,0,0.0,1.5,0.0,0,0,0,0,0
neuron associated cell,0,0.0,0.5,0.0,0,0,0,0,0
neuron associated cell (sensu Vertebrata),0,0.0,0.5,0.0,0,0,0,0,0
neuron of the forebrain,0,0.0,0.5,0.0,0,0,0,0,0
neuronal receptor cell,0,0.0,0.5,0.0,0,0,0,0,0
kidney interstitial fibroblast,0,0.0,0.5,0.0,0,0,0,0,0
kidney interstitial cell,0,0.0,0.5,0.0,0,0,0,0,0
kidney interstitial alternatively activated macrophage,0,0.0,3.0,0.0,0,0,0,0,0
kidney inner medulla collecting duct epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
kidney loop of Henle thick ascending limb epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
kidney epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
kidney distal convoluted tubule epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
kidney cortex collecting duct epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
neuroplacodal cell,0,0.0,0.5,0.0,0,0,0,0,0
kidney connecting tubule principal cell,0,0.0,0.5,0.0,0,0,0,0,0
kidney connecting tubule epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
kidney collecting duct principal cell,0,0.0,0.5,0.0,0,0,0,0,0
neuron,0,0.0,0.5,0.0,0,0,0,0,0
neuroepithelial stem cell,0,0.0,0.5,0.0,0,0,0,0,0
kidney loop of Henle ascending limb epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
kidney loop of Henle cortical thick ascending limb epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
neoplastic cell,0,0.0,0.5,0.0,0,0,0,0,0
nephron tubule epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
neural cell,0,0.0,0.5,0.0,0,0,0,0,0
neural crest cell,0,0.0,1.5,0.0,0,0,0,0,0
kidney loop of Henle epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
neural crest derived neuron,0,0.0,0.5,0.0,0,0,0,0,0
neural progenitor cell,0,0.0,0.5,0.0,0,0,0,0,0
neural stem cell,0,0.0,0.5,0.0,0,0,0,0,0
neurectodermal cell,0,0.0,0.5,0.0,0,0,0,0,0
neuro-medullary thymic epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
neuroblast (sensu Nematoda and Protostomia),0,0.0,0.5,0.0,0,0,0,0,0
neuroblast (sensu Vertebrata),0,0.0,0.5,0.0,0,0,0,0,0
neuroendocrine cell,0,0.0,0.5,0.0,0,0,0,0,0
neuroendocrine cell of epithelium of lobar bronchus,0,0.0,0.5,0.0,0,0,0,0,0
kidney loop of Henle descending limb epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
lung endothelial cell,0,0.0,0.5,0.0,0,0,0,0,0
"myeloid dendritic cell, human",0,0.0,3.0,0.0,0,0,0,0,0
