cell_type,count,percentage,k562_relevance,weighted_count,k562_weighted,k562_weighted_sqrt,k562_hybrid,proportional_sample,sqrt_sample
lung goblet cell,0,0.0,1.5,0.0,0,0,0,0,0
mature astrocyte,0,0.0,0.5,0.0,0,0,0,0,0
mesonephric nephron tubule epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
mesothelial cell,0,0.0,0.5,0.0,0,0,0,0,0
mature gamma-delta T cell,0,0.0,1.5,0.0,0,0,0,0,0
mesothelial cell of dura mater,0,0.0,0.5,0.0,0,0,0,0,0
mesothelial cell of epicardium,0,0.0,0.5,0.0,0,0,0,0,0
mesothelial cell of pleura,0,0.0,0.5,0.0,0,0,0,0,0
mesothelial fibroblast,0,0.0,0.5,0.0,0,0,0,0,0
metallothionein-positive alveolar macrophage,0,0.0,3.0,0.0,0,0,0,0,0
metamyelocyte,0,0.0,0.5,0.0,0,0,0,0,0
microcirculation associated smooth muscle cell,0,0.0,0.5,0.0,0,0,0,0,0
microfold cell of epithelium of small intestine,0,0.0,0.5,0.0,0,0,0,0,0
microglial cell,0,0.0,0.5,0.0,0,0,0,0,0
midbrain dopaminergic neuron,0,0.0,0.5,0.0,0,0,0,0,0
midget ganglion cell of retina,0,0.0,0.5,0.0,0,0,0,0,0
midzonal region hepatocyte,0,0.0,0.5,0.0,0,0,0,0,0
mature microglial cell,0,0.0,0.5,0.0,0,0,0,0,0
mesenchyme condensation cell,0,0.0,0.5,0.0,0,0,0,0,0
mesenchymal stem cell of adipose tissue,0,0.0,0.5,0.0,0,0,0,0,0
memory CCR4-positive regulatory T cell,0,0.0,1.5,0.0,0,0,0,0,0
medullary thymic epithelial cell type 1,0,0.0,0.5,0.0,0,0,0,0,0
medullary thymic epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
medium spiny neuron,0,0.0,0.5,0.0,0,0,0,0,0
melanocyte,0,0.0,0.5,0.0,0,0,0,0,0
melanocyte of skin,0,0.0,0.5,0.0,0,0,0,0,0
medial ganglionic eminence derived interneuron,0,0.0,0.5,0.0,0,0,0,0,0
memory T cell,0,0.0,1.5,0.0,0,0,0,0,0
mature neutrophil,0,0.0,3.0,0.0,0,0,0,0,0
memory regulatory T cell,0,0.0,1.5,0.0,0,0,0,0,0
medial ganglionic eminence derived GABAergic cortical interneuron,0,0.0,0.5,0.0,0,0,0,0,0
meningeal macrophage,0,0.0,3.0,0.0,0,0,0,0,0
mesangial cell,0,0.0,0.5,0.0,0,0,0,0,0
mechanoreceptor cell,0,0.0,0.5,0.0,0,0,0,0,0
mesenchymal lymphangioblast,0,0.0,0.5,0.0,0,0,0,0,0
mature conventional dendritic cell,0,0.0,3.0,0.0,0,0,0,0,0
mature T cell,0,0.0,1.5,0.0,0,0,0,0,0
lung interstitial macrophage,0,0.0,3.0,0.0,0,0,0,0,0
migratory enteric neural crest cell,0,0.0,1.5,0.0,0,0,0,0,0
muscle fibroblast,0,0.0,0.5,0.0,0,0,0,0,0
macroglial cell,0,0.0,0.5,0.0,0,0,0,0,0
myelinating Schwann cell,0,0.0,0.5,0.0,0,0,0,0,0
lymphocyte of B lineage,0,0.0,1.5,0.0,0,0,0,0,0
lung secretory cell,0,0.0,0.5,0.0,0,0,0,0,0
"lung resident memory CD8-positive, alpha-beta T cell",0,0.0,1.5,0.0,0,0,0,0,0
"lung resident memory CD4-positive, alpha-beta T cell",0,0.0,1.5,0.0,0,0,0,0,0
lung pericyte,0,0.0,0.5,0.0,0,0,0,0,0
lung perichondrial fibroblast,0,0.0,0.5,0.0,0,0,0,0,0
myeloid cell,0,0.0,3.0,0.0,0,0,0,0,0
lung multiciliated epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
lung microvascular endothelial cell,0,0.0,0.5,0.0,0,0,0,0,0
lung megakaryocyte,0,0.0,3.0,0.0,0,0,0,0,0
lung macrophage,0,0.0,3.0,0.0,0,0,0,0,0
medullary thymic epithelial cell type 2,0,0.0,0.5,0.0,0,0,0,0,0
mural cell,0,0.0,0.5,0.0,0,0,0,0,0
multiciliated epithelial cell of the bronchus,0,0.0,0.5,0.0,0,0,0,0,0
multiciliated epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
motor neuron,0,0.0,0.5,0.0,0,0,0,0,0
mammary gland epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
malignant cell,0,0.0,1.5,0.0,0,0,0,0,0
male germ cell,0,0.0,0.5,0.0,0,0,0,0,0
monocyte-derived dendritic cell,0,0.0,3.0,0.0,0,0,0,0,0
mononuclear leukocyte,0,0.0,0.5,0.0,0,0,0,0,0
mononuclear phagocyte,0,0.0,0.5,0.0,0,0,0,0,0
mucosa-associated lymphoid tissue macrophage,0,0.0,3.0,0.0,0,0,0,0,0
multiciliated columnar cell of tracheobronchial tree,0,0.0,0.5,0.0,0,0,0,0,0
macula densa epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
mucous cell of stomach,0,0.0,0.5,0.0,0,0,0,0,0
mucous neck cell of gastric gland,0,0.0,0.5,0.0,0,0,0,0,0
mucus secreting cell,0,0.0,0.5,0.0,0,0,0,0,0
mucus secreting cell of bronchus submucosal gland,0,0.0,0.5,0.0,0,0,0,0,0
mucus secreting cell of tracheobronchial tree submucosal gland,0,0.0,0.5,0.0,0,0,0,0,0
A2 amacrine cell,0,0.0,0.5,0.0,0,0,0,0,0
peptic cell,0,0.0,0.5,0.0,0,0,0,0,0
non-myelinating Schwann cell,0,0.0,0.5,0.0,0,0,0,0,0
non-pigmented ciliary epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
spermatogonium,0,0.0,0.5,0.0,0,0,0,0,0
spinal cord radial glial cell,0,0.0,0.5,0.0,0,0,0,0,0
spinous cell of epidermis,0,0.0,0.5,0.0,0,0,0,0,0
splanchnic mesodermal cell,0,0.0,0.5,0.0,0,0,0,0,0
squamous epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
sst GABAergic cortical interneuron,0,0.0,0.5,0.0,0,0,0,0,0
sst chodl GABAergic cortical interneuron,0,0.0,0.5,0.0,0,0,0,0,0
starburst amacrine cell,0,0.0,0.5,0.0,0,0,0,0,0
stellate neuron,0,0.0,0.5,0.0,0,0,0,0,0
stem cell,0,0.0,0.5,0.0,0,0,0,0,0
stem cell of epidermis,0,0.0,0.5,0.0,0,0,0,0,0
stratified epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
stratified squamous epithelial cell,0,0.0,0.5,0.0,0,0,0,0,0
striated cell of salivary gland,0,0.0,0.5,0.0,0,0,0,0,0
stromal cell of endometrium,0,0.0,0.5,0.0,0,0,0,0,0
stromal cell of lamina propria of small intestine,0,0.0,0.5,0.0,0,0,0,0,0
stromal cell of ovary,0,0.0,0.5,0.0,0,0,0,0,0
stromal cell of pancreas,0,0.0,0.5,0.0,0,0,0,0,0
subcutaneous adipocyte,0,0.0,0.5,0.0,0,0,0,0,0
supporting cell,0,0.0,0.5,0.0,0,0,0,0,0
supporting cell of vestibular epithelium,0,0.0,0.5,0.0,0,0,0,0,0
suprabasal keratinocyte,0,0.0,0.5,0.0,0,0,0,0,0
sympathetic neuron,0,0.0,0.5,0.0,0,0,0,0,0
spermatocyte,0,0.0,0.5,0.0,0,0,0,0,0
spermatid,0,0.0,0.5,0.0,0,0,0,0,0
somatic stem cell,0,0.0,0.5,0.0,0,0,0,0,0
skin fibroblast,0,0.0,0.5,0.0,0,0,0,0,0
serous cell of epithelium of bronchus,0,0.0,0.5,0.0,0,0,0,0,0
serous cell of epithelium of lobular bronchiole,0,0.0,0.5,0.0,0,0,0,0,0
serous cell of epithelium of trachea,0,0.0,0.5,0.0,0,0,0,0,0
serous secreting cell,0,0.0,0.5,0.0,0,0,0,0,0
serous secreting cell of bronchus submucosal gland,0,0.0,0.5,0.0,0,0,0,0,0
skeletal muscle fiber,0,0.0,0.5,0.0,0,0,0,0,0
skeletal muscle fibroblast,0,0.0,0.5,0.0,0,0,0,0,0
skeletal muscle myoblast,0,0.0,0.5,0.0,0,0,0,0,0
skeletal muscle satellite cell,0,0.0,0.5,0.0,0,0,0,0,0
skeletal muscle satellite stem cell,0,0.0,0.5,0.0,0,0,0,0,0
slow muscle cell,0,0.0,0.5,0.0,0,0,0,0,0
sncg GABAergic cortical interneuron,0,0.0,0.5,0.0,0,0,0,0,0
small intestine goblet cell,0,0.0,1.5,0.0,0,0,0,0,0
smooth muscle cell,0,0.0,0.5,0.0,0,0,0,0,0
smooth muscle cell of large intestine,0,0.0,0.5,0.0,0,0,0,0,0
smooth muscle cell of prostate,0,0.0,0.5,0.0,0,0,0,0,0
